Номера предикатов,Правило,Описание,Предпосылки,Указатели на предпосылки,Факт
0,,по условию.,,,"col(A,B)"
1,,по условию.,,,"col(B,C)"
2,,по условию.,,,"col(C,D)"
3,,по условию.,,,"col(A,D)"
4,,по условию.,,,"col(C,M)"
5,,по условию.,,,"mdp(M,A,D)"
6,,по условию.,,,"mdp(K,B,C)"
7,,по условию.,,,"mdp(H,D,C)"
8,,по условию.,,,"mdp(P,A,B)"
9,,по условию.,,,"mdp(F,P,H)"
10,,по условию.,,,"col(F,K,M)"
11,свойство средней линии,"отрезок, соединяющий точки M и H, является средней линией и параллелен стороне AC.","[<predicates.fixpred.mdp object at 0x000001CD729528E0>, <predicates.fixpred.mdp object at 0x000001CD729524F0>]","[5, 7]","prl(M,H,A,C)"
12,свойство средней линии,"отрезок, соединяющий точки M и P, является средней линией и параллелен стороне DB.","[<predicates.fixpred.mdp object at 0x000001CD72952940>, <predicates.fixpred.mdp object at 0x000001CD729853D0>]","[5, 8]","prl(M,P,D,B)"
13,свойство средней линии,"отрезок, соединяющий точки K и H, является средней линией и параллелен стороне BD.","[<predicates.fixpred.mdp object at 0x000001CD72952A30>, <predicates.fixpred.mdp object at 0x000001CD72985550>]","[6, 7]","prl(K,H,B,D)"
14,свойство средней линии,"отрезок, соединяющий точки K и P, является средней линией и параллелен стороне CA.","[<predicates.fixpred.mdp object at 0x000001CD72952BB0>, <predicates.fixpred.mdp object at 0x000001CD72985940>]","[6, 8]","prl(K,P,C,A)"
15,правило транзитивности,"две прямые KP, HM параллельные AC - параллельны между собой.","[<predicates.quadpred.prl object at 0x000001CD72952FA0>, <predicates.quadpred.prl object at 0x000001CD72985DF0>]","[11, 14]","prl(K,P,M,H)"
16,правило транзитивности,"две прямые MP, HK параллельные BD - параллельны между собой.","[<predicates.quadpred.prl object at 0x000001CD72985250>, <predicates.quadpred.prl object at 0x000001CD72985A00>]","[12, 13]","prl(M,P,K,H)"
17,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между AB и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD72985F40>],[15],"eqa(K,P,A,B,M,H,A,B)"
18,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между AB и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD7298BDC0>],[16],"eqa(M,P,A,B,K,H,A,B)"
19,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между BC и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD72984520>],[15],"eqa(K,P,B,C,M,H,B,C)"
20,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между BC и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD72984BB0>],[16],"eqa(M,P,B,C,K,H,B,C)"
21,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между DC и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD72984EE0>],[15],"eqa(K,P,D,C,M,H,D,C)"
22,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между DC и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD7298C910>],[16],"eqa(M,P,D,C,K,H,D,C)"
23,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между AD и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD7298CEB0>],[15],"eqa(K,P,A,D,M,H,A,D)"
24,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между AD и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD72993670>],[16],"eqa(M,P,A,D,K,H,A,D)"
25,обратное свойство средней линии,"Ввиду параллельности KH и BD, углы между MC и этими прямыми равны.",[<predicates.quadpred.prl object at 0x000001CD72993D00>],[13],"eqa(K,H,M,C,B,D,M,C)"
