Номера предикатов,Правило,Описание,Предпосылки,Указатели на предпосылки,Факт
0,,это указано в условии.,,,"col(A,B)"
1,,это указано в условии.,,,"col(B,C)"
2,,это указано в условии.,,,"col(C,D)"
3,,это указано в условии.,,,"col(A,D)"
4,,это указано в условии.,,,"col(C,M)"
5,,это указано в условии.,,,"mdp(M,A,D)"
6,,это указано в условии.,,,"mdp(K,B,C)"
7,,это указано в условии.,,,"mdp(H,D,C)"
8,,это указано в условии.,,,"mdp(P,A,B)"
9,,это указано в условии.,,,"mdp(F,P,H)"
10,,это указано в условии.,,,"col(F,K,M)"
11,свойство средней линии,"отрезок, соединяющий точки M и H, является средней линией и параллелен стороне AC.","[<fixpred.mdp object at 0x0000028149277820>, <fixpred.mdp object at 0x0000028149277C40>]","[5, 7]","prl(M,H,A,C)"
12,свойство средней линии,"отрезок, соединяющий точки M и P, является средней линией и параллелен стороне DB.","[<fixpred.mdp object at 0x0000028149277F10>, <fixpred.mdp object at 0x000002814928E6A0>]","[5, 8]","prl(M,P,D,B)"
13,свойство средней линии,"отрезок, соединяющий точки K и H, является средней линией и параллелен стороне BD.","[<fixpred.mdp object at 0x0000028149277E20>, <fixpred.mdp object at 0x000002814928EFA0>]","[6, 7]","prl(K,H,B,D)"
14,свойство средней линии,"отрезок, соединяющий точки K и P, является средней линией и параллелен стороне CA.","[<fixpred.mdp object at 0x0000028149277A90>, <fixpred.mdp object at 0x0000028149296160>]","[6, 8]","prl(K,P,C,A)"
15,правило транзитивности,"две прямые KP, HM параллельные AC - параллельны между собой.","[<quadpred.prl object at 0x000002814928E670>, <quadpred.prl object at 0x0000028149296580>]","[11, 14]","prl(K,P,M,H)"
16,правило транзитивности,"две прямые MP, HK параллельные BD - параллельны между собой.","[<quadpred.prl object at 0x000002814928EFD0>, <quadpred.prl object at 0x00000281492966D0>]","[12, 13]","prl(M,P,K,H)"
17,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между AB и этими прямыми равны.",[<quadpred.prl object at 0x000002814928ED60>],[15],"eqa(K,P,A,B,M,H,A,B)"
18,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между AB и этими прямыми равны.",[<quadpred.prl object at 0x0000028149296880>],[16],"eqa(M,P,A,B,K,H,A,B)"
19,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между BC и этими прямыми равны.",[<quadpred.prl object at 0x000002814929B5E0>],[15],"eqa(K,P,B,C,M,H,B,C)"
20,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между BC и этими прямыми равны.",[<quadpred.prl object at 0x000002814929BCD0>],[16],"eqa(M,P,B,C,K,H,B,C)"
21,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между DC и этими прямыми равны.",[<quadpred.prl object at 0x000002814929E460>],[15],"eqa(K,P,D,C,M,H,D,C)"
22,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между DC и этими прямыми равны.",[<quadpred.prl object at 0x000002814929EAF0>],[16],"eqa(M,P,D,C,K,H,D,C)"
23,обратное свойство средней линии,"Ввиду параллельности KP и MH, углы между AD и этими прямыми равны.",[<quadpred.prl object at 0x000002814929EF10>],[15],"eqa(K,P,A,D,M,H,A,D)"
24,обратное свойство средней линии,"Ввиду параллельности MP и KH, углы между AD и этими прямыми равны.",[<quadpred.prl object at 0x00000281492A2850>],[16],"eqa(M,P,A,D,K,H,A,D)"
25,обратное свойство средней линии,"Ввиду параллельности KH и BD, углы между MC и этими прямыми равны.",[<quadpred.prl object at 0x00000281492A2DF0>],[13],"eqa(K,H,M,C,B,D,M,C)"
26,обратное свойство средней линии,"Ввиду параллельности KH и BD, углы между MF и этими прямыми равны.",[<quadpred.prl object at 0x00000281492A65B0>],[13],"eqa(K,H,M,F,B,D,M,F)"
27,обратное свойство средней линии,"Ввиду параллельности KP и CA, углы между MF и этими прямыми равны.",[<quadpred.prl object at 0x00000281492A6C40>],[14],"eqa(K,P,M,F,C,A,M,F)"
28,обратное свойство средней линии,"Ввиду параллельности KH и BD, углы между MA и этими прямыми равны.",[<quadpred.prl object at 0x00000281492A6FD0>],[13],"eqa(K,H,M,A,B,D,M,A)"
29,обратное свойство средней линии,"Ввиду параллельности MH и AC, углы между KB и этими прямыми равны.",[<quadpred.prl object at 0x00000281492A79A0>],[11],"eqa(M,H,K,B,A,C,K,B)"
30,обратное свойство средней линии,"Ввиду параллельности KP и CA, углы между HD и этими прямыми равны.",[<quadpred.prl object at 0x00000281492A7F40>],[14],"eqa(K,P,H,D,C,A,H,D)"
31,обратное свойство средней линии,"Ввиду параллельности MH и AC, углы между FP и этими прямыми равны.",[<quadpred.prl object at 0x00000281492AA700>],[11],"eqa(M,H,F,P,A,C,F,P)"
32,обратное свойство средней линии,"Ввиду параллельности KH и BD, углы между PA и этими прямыми равны.",[<quadpred.prl object at 0x00000281492AABB0>],[13],"eqa(K,H,P,A,B,D,P,A)"
33,обратное свойство средней линии,"Ввиду параллельности KH и BD, углы между FP и этими прямыми равны.",[<quadpred.prl object at 0x00000281492B0460>],[13],"eqa(K,H,F,P,B,D,F,P)"
34,свойство диагоналей параллелограмма,"если в четырёхугольнике две пары противоположных сторон попарно параллельны, и одна из диагоналей точкой пересечения F делятся пополам, то и вторая диагональ тоже. ","[<fixpred.mdp object at 0x00000281492B2EE0>, <quadpred.prl object at 0x00000281492B2FA0>, <quadpred.prl object at 0x00000281492B5220>]","[9, 15, 16]","mdp(F,K,M)"
